[2022-11-21-17:13:02 +0800] 123.60.114.12 <GET /static/img/logo.bcb1916f.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001918
[2022-11-21-17:13:02 +0800] 123.60.114.12 <GET /static/fonts/element-icons.535877f5.woff HTTP/1.1> 200 0 <http://192.168.88.9:10004/static/css/app.b6f1f0bb.css> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001289
[2022-11-21-17:13:02 +0800] 123.60.114.12 <GET /static/img/nodata.8290bed9.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001972
[2022-11-21-17:13:02 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001262
[2022-11-21-17:13:13 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001498
[2022-11-21-17:13:16 +0800] 123.60.114.12 <GET / HTTP/1.1> 200 565 <-> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001473
[2022-11-21-17:13:16 +0800] 123.60.114.12 <GET /static/css/app.b6f1f0bb.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.110238
[2022-11-21-17:13:16 +0800] 123.60.114.12 <GET /static/js/app.d49a2814.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.089777
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /static/js/chunk-vendors.417fabcd.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 1.034470
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /v1/mindinsight/ui-config HTTP/1.1> 200 26 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001352
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /static/css/chunk-69c2ef19.9cb1bdd1.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.003057
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /static/js/chunk-69c2ef19.82ad0d06.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001647
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /static/img/logo.bcb1916f.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001984
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /static/fonts/element-icons.535877f5.woff HTTP/1.1> 200 0 <http://192.168.88.9:10004/static/css/app.b6f1f0bb.css> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001197
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /static/img/nodata.8290bed9.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002139
[2022-11-21-17:13:17 +0800] 123.60.114.12 <GET /v1/mindinsight/datavisual/train-jobs?limit=20&offset=0 HTTP/1.1> 200 74 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001128
[2022-11-21-17:13:22 +0800] 123.60.114.12 <GET / HTTP/1.1> 200 565 <-> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.002569
[2022-11-21-17:13:22 +0800] 123.60.114.12 <GET /static/css/app.b6f1f0bb.css HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.130544
[2022-11-21-17:13:22 +0800] 123.60.114.12 <GET /static/js/app.d49a2814.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.115906
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/js/chunk-vendors.417fabcd.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.872811
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /v1/mindinsight/ui-config HTTP/1.1> 200 26 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001316
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/img/favicon.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.001419
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/js/chunk-69c2ef19.82ad0d06.js HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.004080
[2022-11-21-17:13:23 +0800] 123.60.114.12 <GET /static/img/logo.bcb1916f.png HTTP/1.1> 200 0 <http://192.168.88.9:10004/> <Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.52> 0.003749
