op_name, stream_id, start_time(ms), duration(ms)
Default/Less-op86,1,1794816433.727000,0.057
Default/Add-op87,1,1794816434.146000,0.057
Default/Select-op88,1,1794816434.488000,0.053
Default/TensorMove-op90,1,1794816435.110000,0.054
Default/ScatterNdUpdate-op91,1,1794816435.274000,0.193
Default/RealDiv-op76,1,1794816435.848000,0.054
Default/Add-op97,1,1794816703.881000,0.181
Default/Mul-op99,1,1794816775.527000,0.162
Default/Add-op100,1,1794816835.484000,0.13
Default/Mul-op101,1,1794816889.961000,0.063
Default/Exp-op102,1,1794816943.554000,0.133
Default/Mul-op103,1,1794817000.301000,0.134
Default/Sin-op104,1,1794817054.278000,0.156
Default/Cast-op109,1,1794817162.825000,2.94
Default/Tile-op107,1,1794817165.867000,0.151
Default/Cast-op108,1,1794817166.116000,2.326
Default/Cast-op113,1,1794817271.031000,0.287
Default/Tile-op111,1,1794817271.421000,0.182
Default/Cast-op112,1,1794817271.707000,1.525
Default/Stack-op114,1,1794817331.303000,0.479
Default/TensorMove-op115,1,1794817392.180000,0.062
Default/ScatterNdUpdate-op116,1,1794817392.384000,95.486
Default/Mul-op103,1,1794817488.470000,0.068
Default/Cos-op117,1,1794817547.898000,0.183
Default/Cast-op109,1,1794817554.676000,0.279
Default/Tile-op107,1,1794817555.062000,0.06
Default/Cast-op108,1,1794817555.219000,1.809
Default/Cast-op113,1,1794817558.182000,0.247
Default/Tile-op111,1,1794817558.528000,0.081
Default/Cast-op112,1,1794817558.704000,1.5
Default/Stack-op114,1,1794817560.525000,0.37
Default/TensorMove-op118,1,1794817620.756000,0.121
Default/ScatterNdUpdate-op119,1,1794817621.014000,96.291
Default/Add-op97,1,1794817901.828000,0.08
Default/Mul-op99,1,1794817903.001000,0.058
Default/Add-op100,1,1794817903.413000,0.075
Default/Mul-op101,1,1794817904.017000,0.057
Default/Exp-op102,1,1794817904.464000,0.06
Default/Mul-op103,1,1794817904.956000,0.053
Default/Sin-op104,1,1794817905.250000,0.059
Default/Cast-op109,1,1794817912.849000,0.283
