full_op_name,execution_time
Log-op1014,0.113
Log-op1015,0.118
RealDiv-op1016,0.094
Mul-op1017,0.113
Neg-op1019,0.107
ReduceMean-op1020,0.11
Stack-op1023,0.09
GatherNd-op1024,0.0985
ReduceMean-op1025,0.1245
Stack-op1030,0.241
ReduceMean-op1031,0.269
