op_name, stream_id, start_time(ms), duration(ms)
Default/Floor-op71,1,1201498184.674000,0.08
Default/Sub-op72,1,1201498185.212000,0.082
Default/Add-op68,1,1201498185.715000,0.082
Default/ReduceMax-op73,1,1201498186.954000,0.114
Default/Add-op75,1,1201498191.468000,0.079
Default/RealDiv-op76,1,1201498191.982000,0.073
Default/Sub-op77,1,1201498192.652000,0.071
Default/ZerosLike-op78,1,1201498193.024000,0.075
Default/Abs-op79,1,1201498193.647000,0.089
Default/Less-op80,1,1201498194.148000,0.067
Default/Cast-op81,1,1201498194.691000,0.073
Default/Gather-op82,1,1201498195.188000,0.077
Default/Mul-op83,1,1201498195.692000,0.074
Default/Cos-op84,1,1201498196.063000,0.069
Default/Add-op85,1,1201498196.543000,0.09
Default/Mul-op83,1,1201498197.035000,0.074
Default/Less-op86,1,1201498198.034000,0.079
Default/Add-op87,1,1201498198.543000,0.063
Default/Select-op88,1,1201498198.960000,0.07
Default/TensorMove-op90,1,1201498199.751000,0.065
Default/ScatterNdUpdate-op91,1,1201498199.954000,0.172
Default/Equal-op92,1,1201498200.563000,0.063
Default/LogicalNot-op93,1,1201498200.962000,0.076
Default/Cast-op81,1,1201498201.454000,0.063
Default/Cast-op81,1,1201498201.885000,0.057
Default/Gather-op82,1,1201498202.330000,0.07
Default/Gather-op82,1,1201498202.771000,0.085
Default/Mul-op83,1,1201498203.271000,0.062
Default/Sin-op94,1,1201498203.627000,0.063
Default/Gather-op82,1,1201498204.041000,0.073
Default/Mul-op83,1,1201498204.511000,0.064
Default/RealDiv-op95,1,1201498204.938000,0.071
Default/Mul-op96,1,1201498205.358000,0.07
Default/Less-op86,1,1201498206.298000,0.069
Default/Add-op87,1,1201498206.799000,0.065
Default/Select-op88,1,1201498207.202000,0.083
Default/TensorMove-op90,1,1201498208.231000,0.072
Default/ScatterNdUpdate-op91,1,1201498208.436000,0.181
Default/Gather-op82,1,1201498209.062000,0.076
Default/Mul-op83,1,1201498209.573000,0.066
Default/Less-op86,1,1201498210.512000,0.075
Default/Add-op87,1,1201498211.039000,0.063
Default/Select-op88,1,1201498211.443000,0.063
Default/TensorMove-op90,1,1201498212.191000,0.067
Default/ScatterNdUpdate-op91,1,1201498212.394000,0.194
Default/RealDiv-op76,1,1201498213.080000,0.071
Default/Add-op97,1,1201505918.421000,23.114
Default/Mul-op99,1,1201506716.164000,0.246
Default/Add-op100,1,1201506776.843000,0.172
Default/Mul-op101,1,1201506839.770000,0.082
Default/Exp-op102,1,1201506902.229000,3.107
Default/Mul-op103,1,1201507213.281000,518.475
Default/Sin-op104,1,1201508073.824000,401.768
Default/Cast-op109,1,1201510482.861000,289.16
Default/Tile-op107,1,1201510779.112000,8.8
Default/Cast-op108,1,1201510867.706000,2.216
Default/Cast-op113,1,1201513122.197000,0.297
Default/Tile-op111,1,1201513122.932000,0.181
Default/Cast-op112,1,1201513447.526000,1.847
Default/Stack-op114,1,1201514365.328000,118.223
Default/TensorMove-op115,1,1201516082.984000,0.169
Default/ScatterNdUpdate-op116,1,1201516655.656000,95.555
Default/Mul-op103,1,1201516785.341000,0.085
Default/Cos-op117,1,1201517907.500000,122.38
Default/Cast-op109,1,1201518038.588000,0.343
Default/Tile-op107,1,1201518039.075000,0.071
Default/Cast-op108,1,1201518041.404000,1.731
Default/Cast-op113,1,1201518044.443000,0.301
Default/Tile-op111,1,1201518044.949000,0.136
Default/Cast-op112,1,1201518045.254000,1.724
Default/Stack-op114,1,1201518047.405000,0.394
Default/TensorMove-op118,1,1201519001.532000,0.123
Default/ScatterNdUpdate-op119,1,1201519363.159000,96.351
Default/Add-op97,1,1201525087.241000,0.138
Default/Mul-op99,1,1201525133.776000,0.065
Default/Add-op100,1,1201525136.991000,0.097
Default/Mul-op101,1,1201525137.899000,0.102
Default/Exp-op102,1,1201525138.541000,0.082
Default/Mul-op103,1,1201525139.223000,0.105
Default/Sin-op104,1,1201525139.643000,0.068
Default/Cast-op109,1,1201525146.544000,0.333
Default/Tile-op107,1,1201525147.047000,0.121
Default/Cast-op108,1,1201525147.305000,1.814
Default/Cast-op113,1,1201525150.621000,0.281
Default/Tile-op111,1,1201525151.030000,0.099
Default/Cast-op112,1,1201525151.237000,1.74
Default/Stack-op114,1,1201525153.353000,0.427
Default/TensorMove-op115,1,1201525155.571000,0.066
Default/ScatterNdUpdate-op116,1,1201525345.192000,95.407
Default/Mul-op103,1,1201525442.526000,0.1
Default/Cos-op117,1,1201525442.909000,0.068
Default/Cast-op109,1,1201525817.655000,0.289
Default/Tile-op107,1,1201525818.078000,0.082
Default/Cast-op108,1,1201525819.282000,1.756
Default/Cast-op113,1,1201526001.811000,0.195
Default/Tile-op111,1,1201526011.665000,0.089
Default/Cast-op112,1,1201526070.030000,1.647
Default/Stack-op114,1,1201526098.989000,0.371
Default/TensorMove-op118,1,1201526120.834000,0.09
Default/ScatterNdUpdate-op119,1,1201526665.556000,96.313
Default/Add-op97,1,1201565373.188000,0.132
Default/Mul-op99,1,1201565375.491000,0.094
Default/Add-op100,1,1201565376.067000,0.076
Default/Mul-op101,1,1201565376.788000,0.078
Default/Exp-op102,1,1201565377.436000,0.076
Default/Mul-op103,1,1201565378.070000,0.084
Default/Sin-op104,1,1201565378.461000,0.086
Default/Cast-op109,1,1201565385.929000,0.32
Default/Tile-op107,1,1201565386.371000,0.079
Default/Cast-op108,1,1201565386.571000,1.055
Default/Cast-op113,1,1201565389.256000,0.211
Default/Tile-op111,1,1201565389.587000,0.116
Default/Cast-op112,1,1201565389.820000,0.955
Default/Stack-op114,1,1201565391.257000,0.402
Default/TensorMove-op115,1,1201565393.685000,0.07
Default/ScatterNdUpdate-op116,1,1201565393.967000,95.428
Default/Mul-op103,1,1201565490.362000,0.082
Default/Cos-op117,1,1201565490.758000,0.068
Default/Cast-op109,1,1201565498.461000,0.235
Default/Tile-op107,1,1201565498.812000,0.066
Default/Cast-op108,1,1201565499.642000,1.056
Default/Cast-op113,1,1201565502.164000,0.2
Default/Tile-op111,1,1201565502.470000,0.09
Default/Cast-op112,1,1201565503.271000,0.989
Default/Stack-op114,1,1201565504.723000,0.376
Default/TensorMove-op118,1,1201565506.471000,0.091
Default/ScatterNdUpdate-op119,1,1201565506.766000,96.309
Default/Add-op97,1,1201569478.263000,0.124
Default/Mul-op99,1,1201569748.874000,0.086
Default/Add-op100,1,1201569770.583000,0.069
Default/Mul-op101,1,1201569796.552000,0.07
Default/Exp-op102,1,1201569819.931000,0.065
Default/Mul-op103,1,1201569840.964000,0.083
Default/Sin-op104,1,1201569853.414000,0.072
Default/Cast-op109,1,1201569965.276000,0.257
Default/Tile-op107,1,1201569965.642000,0.064
Default/Cast-op108,1,1201569965.813000,1.021
Default/Cast-op113,1,1201569968.252000,0.195
Default/Tile-op111,1,1201569968.556000,0.089
Default/Cast-op112,1,1201569968.749000,0.989
Default/Stack-op114,1,1201569970.250000,0.379
Default/TensorMove-op115,1,1201569973.053000,0.111
Default/ScatterNdUpdate-op116,1,1201569973.983000,95.441
Default/Mul-op103,1,1201570070.929000,0.085
Default/Cos-op117,1,1201570071.315000,0.083
Default/Cast-op109,1,1201570079.711000,0.212
Default/Tile-op107,1,1201570080.026000,0.152
Default/Cast-op108,1,1201570081.463000,0.949
Default/Cast-op113,1,1201570085.591000,0.195
Default/Tile-op111,1,1201570085.903000,0.09
Default/Cast-op112,1,1201570087.317000,1.016
Default/Stack-op114,1,1201570089.996000,0.379
Default/TensorMove-op118,1,1201570092.083000,0.098
Default/ScatterNdUpdate-op119,1,1201570639.377000,96.31
Default/UniformReal-op121,1,1201581898.207000,9.276
Default/UniformReal-op121,1,1201581952.950000,0.641
Default/UniformReal-op121,1,1201581993.829000,0.802
Default/Concat-op124,2,1201584715.887000,0.236
Default/StridedSlice-op125,2,1201584716.438000,0.583
Default/UniformReal-op126,2,1201584717.871000,0.219
Default/Greater-op127,2,1201584719.525000,0.6
Default/Mul-op129,2,1201587972.921000,0.886
Default/Abs-op130,2,1201587975.191000,0.726
