full_op_name,execution_time
RealDiv-op625,0.125375
TransData-op628,0.154812
TransData-op627,0.2015
BatchMatMul-op626,0.139875
Cast-op629,2.265375
Cast-op632,1.481875
Sub-op633,0.125375
Mul-op634,0.127938
TransData-op636,0.172187
Add-op635,0.344438
TransData-op640,2.705188
Softmax-op641,3.222688
Cast-op643,0.231625
TransData-op646,0.159187
TransData-op645,0.234688
BatchMatMul-op644,0.109187
TransData-op652,0.083438
TransposeNOD-op653,0.104875
Cast-op656,0.076
TransData-op659,0.06925
TransData-op658,0.13425
MatMul-op657,0.1195
Cast-op660,0.148
Add-op661,0.102
TransData-op665,0.093
Cast-op667,0.14575
Add-op668,2.967
LayerNorm-op669,0.339
TransposeNOD-op671,0.17725
MatMul-op673,54.1
BiasAdd-op674,0.701125
ReLU-op676,1.824187
MatMul-op678,25.253625
BiasAdd-op679,0.20525
TransposeNOD-op684,0.148375
Add-op685,0.116032
LayerNorm-op686,1.559594
Cast-op690,0.075
Cast-op691,0.081
Cast-op692,0.093579
Cast-op694,0.027
TransData-op697,0.065
TransData-op696,0.119
MatMul-op695,0.059
Cast-op698,0.064
Add-op699,0.068
TransData-op703,1.404714
Cast-op705,0.889704
TransData-op708,0.06185
TransData-op707,0.12245
MatMul-op706,0.062
Cast-op709,0.109667
Add-op710,0.066148
TransposeNOD-op718,0.509
RealDiv-op719,0.091
ReduceMean-op721,1.792
Sub-op722,0.863
Square-op723,3.204
ReduceSum-op724,2.985
RealDiv-op725,0.073
Add-op726,0.071
Sqrt-op727,0.069
Sub-op728,0.089
RealDiv-op729,2.28
Mul-op732,6.045
Add-op734,3.858
Add-op735,0.565
TransposeNOD-op737,0.299
RealDiv-op738,0.2785
StridedSlice-op742,0.32
Add-op743,0.411
LayerNorm-op744,0.938
Cast-op748,0.071
Cast-op749,0.075
Cast-op750,0.072
Cast-op752,0.027
TransData-op755,0.063
TransData-op754,0.162
MatMul-op753,0.058
Cast-op756,0.063
Add-op757,0.062
TransData-op761,0.091333
Cast-op763,0.0345
TransData-op766,0.0805
TransData-op765,0.1445
MatMul-op764,0.064
Cast-op767,0.0655
Add-op768,0.0665
TransposeNOD-op776,0.954
TransposeNOD-op779,0.570438
TransposeNOD-op782,0.658677
Cast-op784,0.738417
RealDiv-op785,0.435063
RealDiv-op786,0.150813
TransData-op789,1.379812
TransData-op788,0.551375
BatchMatMul-op787,0.288687
Cast-op790,3.574813
Cast-op793,1.710375
Sub-op794,0.391
Mul-op795,0.417
TransData-op797,0.253
Add-op796,0.5635
TransData-op801,1.924937
Softmax-op802,2.639188
Cast-op804,0.118188
TransData-op807,0.17125
TransData-op806,0.159937
BatchMatMul-op805,0.08325
TransData-op813,0.11225
TransposeNOD-op814,0.099312
Cast-op817,0.102
TransData-op820,0.077917
TransData-op819,1.639083
MatMul-op818,1.2675
Cast-op821,0.057
Add-op822,0.066
TransData-op826,0.09
Cast-op828,2.389375
Add-op829,0.81
LayerNorm-op830,0.269
TransposeNOD-op832,0.108042
MatMul-op834,53.146708
BiasAdd-op835,0.151292
ReLU-op837,0.553875
MatMul-op839,25.873042
BiasAdd-op840,0.104417
TransposeNOD-op845,1.745458
Add-op846,1.779387
LayerNorm-op847,0.298531
Cast-op851,0.075
Cast-op852,0.079
Cast-op853,0.40594
Cast-op855,0.026
TransData-op858,0.065
TransData-op857,0.143
MatMul-op856,0.064
Cast-op859,0.053
Add-op860,0.068
TransData-op864,1.040913
Cast-op866,0.409176
TransData-op869,0.079794
TransData-op868,0.797971
MatMul-op867,1.227853
Cast-op870,0.124747
Add-op871,0.863198
TransposeNOD-op879,0.3655
RealDiv-op880,0.109
ReduceMean-op882,0.144333
Sub-op883,0.102
Square-op884,0.08
ReduceSum-op885,0.154667
RealDiv-op886,0.060667
Add-op887,0.064
Sqrt-op888,0.059333
Sub-op889,0.0866
RealDiv-op890,0.087
Mul-op893,0.109667
Add-op895,0.085333
Add-op896,0.088333
TransposeNOD-op898,0.112
RealDiv-op899,0.091
ReLU-op902,0.373
PReLU-op903,0.202
Assign-op904,0.435
Cast-op910,0.7
TransData-op906,1.551
Cast-op909,0.486
Conv2D-op905,0.497
BiasAdd-op911,0.493
TransData-op915,1.021
TransposeNOD-op917,0.7
RealDiv-op918,0.176
StridedSlice-op920,0.147
RealDiv-op921,0.134
StridedSlice-op923,1.21
StridedSlice-op924,1.226
RealDiv-op925,0.157
StridedSlice-op927,0.902
Add-op928,0.902
StridedSlice-op929,9.235
Cast-op936,0.059
TransData-op932,2.751
Cast-op935,6.724
